"stratum","population"
"al.adhamiyaidp_out_camp",911
"al.amadiyaidp_out_camp",514
"al.baajidp_out_camp",226
"al.basrahidp_out_camp",370
"al.diwaniyaidp_out_camp",828
"al.fallujaidp_out_camp",1759
"al.hamdaniyaidp_out_camp",4461
"al.hindiyaidp_out_camp",853
"al.kadhmiyahidp_out_camp",2657
"al.kahlaidp_out_camp",206
"al.kaimidp_out_camp",219
"al.karkhidp_out_camp",3671
"al.khalisidp_out_camp",767
"al.kufaidp_out_camp",580
"al.kutidp_out_camp",870
"al.mahmoudiyaidp_out_camp",1083
"al.mosulidp_out_camp",17462
"al.mussyabidp_out_camp",2387
"al.najafidp_out_camp",1198
"al.nasiriyaidp_out_camp",239
"al.ramadiidp_out_camp",862
"al.risafaidp_out_camp",552
"al.shikhanidp_out_camp",3902
"al.shirqatidp_out_camp",238
"al.sulaymaniyahidp_out_camp",13371
"al.suwairaidp_out_camp",387
"aqraidp_out_camp",4121
"baladidp_out_camp",2702
"baladruzidp_out_camp",202
"baqubaidp_out_camp",3916
"beygeeidp_out_camp",852
"chamchamalidp_out_camp",1576
"daquqidp_out_camp",1031
"derbendikhanidp_out_camp",1029
"dibisidp_out_camp",351
"dokanidp_out_camp",816
"duhokidp_out_camp",5772
"erbilidp_out_camp",26281
"hadithaidp_out_camp",341
"halabchaidp_out_camp",578
"heetidp_out_camp",285
"kalaridp_out_camp",2510
"kerbelaidp_out_camp",2449
"khanaqinidp_out_camp",2060
"kifriidp_out_camp",2201
"kirkukidp_out_camp",13581
"koysinjaqidp_out_camp",791
"raniaidp_out_camp",455
"rawanduzidp_out_camp",508
"samarraidp_out_camp",4011
"shaqlawaidp_out_camp",915
"sinjaridp_out_camp",4086
"sumailidp_out_camp",14538
"telafaridp_out_camp",1881
"tikritidp_out_camp",5677
"tilkaefidp_out_camp",4150
"tooz.khurmatoidp_out_camp",4820
"zakhoidp_out_camp",8749
"al.baajreturnee",1768
"al.daurreturnee",10141
"al.fallujareturnee",90536
"al.hamdaniyareturnee",28387
"al.hatrareturnee",3448
"al.hawigareturnee",23488
"al.kadhmiyahreturnee",4771
"al.kaimreturnee",6234
"al.khalisreturnee",13225
"al.mahmoudiyareturnee",9306
"al.mosulreturnee",159060
"al.muqdadiyareturnee",8021
"al.mussyabreturnee",411
"al.ramadireturnee",75718
"al.rutbareturnee",4675
"al.shikhanreturnee",266
"al.shirqatreturnee",20408
"anareturnee",4770
"baladreturnee",10906
"beygeereturnee",19299
"daquqreturnee",1295
"dibisreturnee",1196
"hadithareturnee",4694
"heetreturnee",30677
"khanaqinreturnee",15936
"kirkukreturnee",27020
"makhmourreturnee",6226
"samarrareturnee",8978
"sinjarreturnee",9775
"telafarreturnee",54996
"tikritreturnee",28426
"tilkaefreturnee",19813
"tooz.khurmatoreturnee",6859
"al.adhamiyahost",5487.933992
"al.basrahhost",4905.989522
"al.kahlahost",656.9533688
"al.mosulhost",30722.79269
"al.najafhost",10429.21824
"al.nasiriyahost",1284.615049
"al.shirqathost",1942.328798
"erbilhost",592.8938869
"sumailhost",8240.050282
"aafidp_in_camp",3628
"htcidp_in_camp",1200
"shooting.campidp_in_camp",175
"zayonaidp_in_camp",113
"alwand.1idp_in_camp",649
"alwand.2idp_in_camp",227
"qoratuidp_in_camp",247
"bajed.kandalaidp_in_camp",2052
"bersive.1idp_in_camp",1461
"bersive.2idp_in_camp",1737
"chamishkuidp_in_camp",5041
"darkaridp_in_camp",724
"dawoudiaidp_in_camp",634
"kabarto.1idp_in_camp",2562
"kabarto.2idp_in_camp",2598
"khankeidp_in_camp",2836
"rwanga.communityidp_in_camp",2619
"shariyaidp_in_camp",3099
"baharkaidp_in_camp",932
"debaga.1idp_in_camp",1852
"harshmidp_in_camp",299
"al.kawtharidp_in_camp",124
"laylan.2idp_in_camp",504
"laylan.idpidp_in_camp",1109
"yahyawaidp_in_camp",497
"as.salamyiahidp_in_camp",5214
"as.salamyiah.nimrudidp_in_camp",646
"essianidp_in_camp",2758
"haj.aliidp_in_camp",2613
"haa.1idp_in_camp",3794
"haa.2idp_in_camp",4425
"hasansham.u3idp_in_camp",1251
"hasansham.u2idp_in_camp",953
"khazer.m1idp_in_camp",1348
"mamilianidp_in_camp",203
"mamrashanidp_in_camp",1735
"qayyarah.airstripidp_in_camp",7069
"qayyarah.jadah.1.2idp_in_camp",1843
"qayyarah.jadah.3idp_in_camp",1369
"qayyarah.jadah.4idp_in_camp",943
"qayyarah.jadah.5idp_in_camp",2756
"qayyarah.jadah.6idp_in_camp",2389
"sheikhanidp_in_camp",844
"al.alamidp_in_camp",354
"basateen.al.sheuokhidp_in_camp",299
"karamahidp_in_camp",419
"arbat.idpidp_in_camp",355
"ashti.idpidp_in_camp",2375
"tazadeidp_in_camp",318
