"Sector","Indicator","Sub Indicator","Aggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Samarra",0.0482278002525395,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Erbil",0.032716469888904,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Ramadi",0.118382955735522,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Shirqat",0.0917338083946816,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Sumel",0.560973877949683,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Tilkaif",0.0598796689977144,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Amedi",0.560654210728179,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Falluja",0.523437178396705,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Mosul",0.537893372039624,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Heet",0.0256140392841624,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Darbandihkan",0.577777777777778,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Adhamia",0.043956043956044,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kadhimia",0.0206185567010309,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Resafa",0.101729362723249,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Dahuk",0.106382978723404,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Khalis",0.0101010101010101,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Zakho",0.330558811036632,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Daquq",0.613249316391604,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kifri",0.34864226084072,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Makhmur",0.487825840544824,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Sinjar",0.488713212777617,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Telafar",0.0932310571290954,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Hamdaniya",0.161339439140888,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kirkuk",0.0914501882265591,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kalar",0.372897866256776,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Shikhan",0.752802335961388,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Tikrit",0.197155107871503,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kut",0,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Haditha",0.0430925221799746,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Chamchamal",0.41304347826087,"received_aid"
