"Sector","Indicator","Sub Indicator","Disaggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","female",0.0616170014607946,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","male",0.146284444160486,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash","female",0.202015588180098,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","male",0.402645303349929,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food","female",0.741537428704679,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","male",0.785871676726515,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Water","female",0.0533137028060073,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","male",0.028340711285817,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","female",0.0226265205618463,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","male",0.0234692427273871,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","female",0.0118616653682915,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","male",0.0173238349103968,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","female",0.196500817881666,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","male",0.127571566637225,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","female",0.223484749871183,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","male",0.28249081407161,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","female",0,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","male",0.00081359565684554,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Education services","female",0,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Education services","male",0.00669862519829346,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","female",0.0308980532218798,"received_aid_healthcare"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","male",0.141073740125556,"received_aid_healthcare"
"AAP","% of HHs reporting to be satisfied with the aid received","","female",0.0461355561379702,"aid_satisfaction"
"AAP","% of HHs reporting to be satisfied with the aid received","","male",0.111326851438901,"aid_satisfaction"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","female",0.111751642984896,"critical_shelter"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","male",0.144188689857861,"critical_shelter"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","apartment","female",0.0295046723477054,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_building","female",0.0231148099291173,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel","female",0.00154642353892091,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","house","female",0.857197261128478,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter","female",0.00881369510865007,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential","female",0.001319464244185,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building","female",0.00599249709762968,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building","female",0.0157270553180792,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent","female",0.00493559410500736,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_abandoned_building","female",0.0518485271822274,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","apartment","male",0.0344787257341117,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","container","male",0.00951402663720808,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_building","male",0.0135148166711627,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel","male",0.000555124487583024,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","house","male",0.820766891748268,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter","male",0.0100772638542284,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential","male",0.000705749922206148,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other","male",1.05681721764112e-05,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building","male",0.00174079380334446,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building","male",0.00188942635829806,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu","male",0.00408035535293838,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent","male",0.0826520143612663,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_abandoned_building","male",0.0200142428972089,"shelter.shelter_type"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","","female",0.308193825922127,"not_attending_formal"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","","male",0.200617397888665,"not_attending_formal"
"Education","% of HHs with at least one child dropping out in previous academic year","","female",0.0233533674072511,"dropped_from_school"
"Education","% of HHs with at least one child dropping out in previous academic year","","male",0.0239859510550133,"dropped_from_school"
"Education","Main barriers to education","School stopped functioning and is now closed","female",0.209062149037629,"education_barriers_not_function"
"Education","Main barriers to education","School stopped functioning and is now closed","male",0.218838238785327,"education_barriers_not_function"
"Education","Main barriers to education","Lack of safety to access schools","female",0.0747748513716809,"education_barriers_safety"
"Education","Main barriers to education","Lack of safety to access schools","male",0.111848343205421,"education_barriers_safety"
"Education","Main barriers to education","Costs related to education","female",0.375251925548996,"education_barriers_cost"
"Education","Main barriers to education","Costs related to education","male",0.253026137627124,"education_barriers_cost"
"Education","Main barriers to education","Unable to enroll/register","female",0.0640639216152446,"education_barriers_unable_to_register"
