"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"received_aid","gender_head","0","female",0.938382998539205,NA,0.918794194691935,0.957971802386476,"all","all"
"received_aid","gender_head","1","female",0.0616170014607946,NA,0.0420281976135243,0.081205805308065,"all","all"
"received_aid","gender_head","0","male",0.853715555839514,NA,0.843883182108291,0.863547929570736,"all","all"
"received_aid","gender_head","1","male",0.146284444160486,NA,0.136452070429264,0.156116817891709,"all","all"
"received_aid_cash","gender_head","0","female",0.797984411819902,NA,0.695575371519019,0.900393452120785,"all","all"
"received_aid_cash","gender_head","1","female",0.202015588180098,NA,0.0996065478792146,0.304424628480981,"all","all"
"received_aid_cash","gender_head","0","male",0.597354696650071,NA,0.563729270314587,0.630980122985555,"all","all"
"received_aid_cash","gender_head","1","male",0.402645303349929,NA,0.369019877014445,0.436270729685413,"all","all"
"received_aid_food","gender_head","0","female",0.258462571295321,NA,0.142881074778114,0.374044067812528,"all","all"
"received_aid_food","gender_head","1","female",0.741537428704679,NA,0.625955932187472,0.857118925221886,"all","all"
"received_aid_food","gender_head","0","male",0.214128323273485,NA,0.181422436698906,0.246834209848063,"all","all"
"received_aid_food","gender_head","1","male",0.785871676726515,NA,0.753165790151937,0.818577563301094,"all","all"
"received_aid_water","gender_head","0","female",0.946686297193993,NA,0.90910940386634,0.984263190521645,"all","all"
"received_aid_water","gender_head","1","female",0.0533137028060073,NA,0.015736809478355,0.0908905961336597,"all","all"
"received_aid_water","gender_head","0","male",0.971659288714183,NA,0.959773131751,0.983545445677366,"all","all"
"received_aid_water","gender_head","1","male",0.028340711285817,NA,0.016454554322634,0.0402268682489999,"all","all"
"received_aid_fuel","gender_head","0","female",0.977373479438154,NA,0.95265173229822,1.00209522657809,"all","all"
"received_aid_fuel","gender_head","1","female",0.0226265205618463,NA,-0.00209522657808723,0.0473482677017799,"all","all"
"received_aid_fuel","gender_head","0","male",0.976530757272613,NA,0.967197539957023,0.985863974588203,"all","all"
"received_aid_fuel","gender_head","1","male",0.0234692427273871,NA,0.0141360254117974,0.0328024600429768,"all","all"
"received_aid_shelter","gender_head","0","female",0.988138334631709,NA,0.974001516374052,1.00227515288936,"all","all"
"received_aid_shelter","gender_head","1","female",0.0118616653682915,NA,-0.00227515288936462,0.0259984836259475,"all","all"
"received_aid_shelter","gender_head","0","male",0.982676165089603,NA,0.978085714764988,0.987266615414219,"all","all"
"received_aid_shelter","gender_head","1","male",0.0173238349103968,NA,0.0127333845857813,0.0219142852350122,"all","all"
"received_aid_seasonal_items","gender_head","0","female",0.803499182118334,NA,0.604450652503963,1.00254771173271,"all","all"
"received_aid_seasonal_items","gender_head","1","female",0.196500817881666,NA,-0.00254771173270571,0.395549347496037,"all","all"
"received_aid_seasonal_items","gender_head","0","male",0.872428433362775,NA,0.8507045067512,0.894152359974349,"all","all"
"received_aid_seasonal_items","gender_head","1","male",0.127571566637225,NA,0.105847640025651,0.1492954932488,"all","all"
"received_aid_other_nfi","gender_head","0","female",0.776515250128817,NA,0.665700227127717,0.887330273129917,"all","all"
"received_aid_other_nfi","gender_head","1","female",0.223484749871183,NA,0.112669726870083,0.334299772872283,"all","all"
"received_aid_other_nfi","gender_head","0","male",0.71750918592839,NA,0.695175826489453,0.739842545367326,"all","all"
"received_aid_other_nfi","gender_head","1","male",0.28249081407161,NA,0.260157454632674,0.304824173510547,"all","all"
"received_aid_protection","gender_head","1","female",0,NA,0,0,"all","all"
"received_aid_protection","gender_head","0","male",0.999186404343154,NA,0.998231673658083,1.00014113502823,"all","all"
"received_aid_protection","gender_head","1","male",0.00081359565684554,NA,-0.000141135028226378,0.00176832634191746,"all","all"
"received_aid_education","gender_head","1","female",0,NA,0,0,"all","all"
"received_aid_education","gender_head","0","male",0.993301374801707,NA,0.985272287550886,1.00133046205253,"all","all"
"received_aid_education","gender_head","1","male",0.00669862519829346,NA,-0.00133046205252744,0.0147277124491144,"all","all"
"received_aid_healthcare","gender_head","0","female",0.96910194677812,NA,0.941910356121567,0.996293537434673,"all","all"
"received_aid_healthcare","gender_head","1","female",0.0308980532218798,NA,0.00370646256532659,0.058089643878433,"all","all"
"received_aid_healthcare","gender_head","0","male",0.858926259874444,NA,0.834966839914387,0.882885679834501,"all","all"
"received_aid_healthcare","gender_head","1","male",0.141073740125556,NA,0.117114320165499,0.165033160085613,"all","all"
"aid_satisfaction","gender_head","0","female",0.95386444386203,NA,0.936000541899867,0.971728345824193,"all","all"
"aid_satisfaction","gender_head","1","female",0.0461355561379702,NA,0.0282716541758071,0.0639994581001333,"all","all"
"aid_satisfaction","gender_head","0","male",0.888673148561099,NA,0.87948617610812,0.897860121014078,"all","all"
"aid_satisfaction","gender_head","1","male",0.111326851438901,NA,0.102139878985922,0.12051382389188,"all","all"
"critical_shelter","gender_head","0","female",0.888248357015104,NA,0.860913295359443,0.915583418670765,"all","all"
"critical_shelter","gender_head","1","female",0.111751642984896,NA,0.0844165813292353,0.139086704640557,"all","all"
"critical_shelter","gender_head","0","male",0.855811310142139,NA,0.847615813064648,0.864006807219629,"all","all"
"critical_shelter","gender_head","1","male",0.144188689857861,NA,0.135993192780371,0.152384186935352,"all","all"
"shelter.shelter_type","gender_head","apartment","female",0.0295046723477054,NA,0.0202624340050636,0.0387469106903472,"all","all"
"shelter.shelter_type","gender_head","damaged_building","female",0.0231148099291173,NA,0.00765586645008933,0.0385737534081454,"all","all"
"shelter.shelter_type","gender_head","hotel","female",0.00154642353892091,NA,-0.000287323979439171,0.00338017105728099,"all","all"
"shelter.shelter_type","gender_head","house","female",0.857197261128478,NA,0.827619432134082,0.886775090122873,"all","all"
"shelter.shelter_type","gender_head","makeshift_shelter","female",0.00881369510865007,NA,0.00315360583500453,0.0144737843822956,"all","all"
"shelter.shelter_type","gender_head","non_residential","female",0.001319464244185,NA,-0.000457955187637432,0.00309688367600743,"all","all"
"shelter.shelter_type","gender_head","public_building","female",0.00599249709762968,NA,0.00198559820513811,0.00999939599012125,"all","all"
"shelter.shelter_type","gender_head","religious_building","female",0.0157270553180792,NA,0.00691202073302732,0.024542089903131,"all","all"
"shelter.shelter_type","gender_head","tent","female",0.00493559410500736,NA,0.000772893514707962,0.00909829469530675,"all","all"
"shelter.shelter_type","gender_head","unfinished_abandoned_building","female",0.0518485271822274,NA,0.0332685018141172,0.0704285525503376,"all","all"
"shelter.shelter_type","gender_head","apartment","male",0.0344787257341117,NA,0.0274543324919589,0.0415031189762645,"all","all"
"shelter.shelter_type","gender_head","container","male",0.00951402663720808,NA,0.00850802626959941,0.0105200270048168,"all","all"
"shelter.shelter_type","gender_head","damaged_building","male",0.0135148166711627,NA,0.00940412306943183,0.0176255102728935,"all","all"
"shelter.shelter_type","gender_head","hotel","male",0.000555124487583024,NA,0.000305189633309481,0.000805059341856567,"all","all"
"shelter.shelter_type","gender_head","house","male",0.820766891748268,NA,0.810099886434357,0.831433897062178,"all","all"
"shelter.shelter_type","gender_head","makeshift_shelter","male",0.0100772638542284,NA,0.00714659004651309,0.0130079376619437,"all","all"
"shelter.shelter_type","gender_head","non_residential","male",0.000705749922206148,NA,0.000338277355428842,0.00107322248898345,"all","all"
"shelter.shelter_type","gender_head","other","male",1.05681721764112e-05,NA,-6.82165408704318e-06,2.79579984398656e-05,"all","all"
"shelter.shelter_type","gender_head","public_building","male",0.00174079380334446,NA,0.00108883152814457,0.00239275607854436,"all","all"
"shelter.shelter_type","gender_head","religious_building","male",0.00188942635829806,NA,0.00150526085529481,0.00227359186130131,"all","all"
"shelter.shelter_type","gender_head","rhu","male",0.00408035535293838,NA,0.00345841080935604,0.00470229989652073,"all","all"
"shelter.shelter_type","gender_head","tent","male",0.0826520143612663,NA,0.078118667232541,0.0871853614899915,"all","all"
"shelter.shelter_type","gender_head","unfinished_abandoned_building","male",0.0200142428972089,NA,0.0168205675327216,0.0232079182616961,"all","all"
"not_attending_formal","gender_head","0","female",0.691806174077873,NA,0.627172480519539,0.756439867636207,"all","all"
"not_attending_formal","gender_head","1","female",0.308193825922127,NA,0.243560132363793,0.372827519480461,"all","all"
"not_attending_formal","gender_head","0","male",0.799382602111335,NA,0.781818359603848,0.816946844618823,"all","all"
"not_attending_formal","gender_head","1","male",0.200617397888665,NA,0.183053155381177,0.218181640396152,"all","all"
"dropped_from_school","gender_head","0","female",0.976646632592749,NA,0.961277220542621,0.992016044642877,"all","all"
"dropped_from_school","gender_head","1","female",0.0233533674072511,NA,0.00798395535712326,0.0387227794573788,"all","all"
"dropped_from_school","gender_head","0","male",0.976014048944987,NA,0.968349742844548,0.983678355045425,"all","all"
"dropped_from_school","gender_head","1","male",0.0239859510550133,NA,0.016321644954575,0.0316502571554516,"all","all"
"education_barriers_not_function","gender_head","0","female",0.790937850962371,NA,0.673571909760921,0.908303792163822,"all","all"
"education_barriers_not_function","gender_head","1","female",0.209062149037629,NA,0.0916962078361782,0.326428090239079,"all","all"
"education_barriers_not_function","gender_head","0","male",0.781161761214673,NA,0.742224641077897,0.820098881351449,"all","all"
"education_barriers_not_function","gender_head","1","male",0.218838238785327,NA,0.179901118648551,0.257775358922103,"all","all"
"education_barriers_safety","gender_head","0","female",0.925225148628319,NA,0.85813982559055,0.992310471666088,"all","all"
