"Sector","Indicator","Sub Indicator","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","",0.275690263649574,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash",0.437123493975904,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food",0.909262048192771,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Water",0.0169427710843374,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Fuel",0.00188253012048193,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Shelter",0,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items",0.0474397590361446,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items",0.303463855421687,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services",0.000753012048192771,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Education services",0.000376506024096386,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare",0.155496987951807,"received_aid_healthcare"
"AAP","% of HHs reporting to be satisfied with the aid received","",0.789156626506024,"aid_satisfaction"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","",0.318247872119577,"critical_shelter"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","apartment",0.0421424122898069,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","container",0.073074527714345,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_building",0.0124558854058543,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel",0.000207598090097571,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","house",0.63161718912186,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter",0.00840772264895163,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential",0.0021797799460245,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other",0.00778492837865892,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building",0.00155698567573178,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building",0.001453186630683,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu",0.00560514843263442,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent",0.185073697321985,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_abandoned_building",0.0284409383433672,"shelter.shelter_type"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","",0.21865489957395,"not_attending_formal"
"Education","% of households with at least one female school-aged child not attending formal school regularly (at least 4 days a week)","",0.186980609418283,"female_not_attending_formal"
"Education","% of households with at least one male school-aged child not attending formal school regularly (at least 4 days a week)","",0.158513462267728,"male_not_attending_formal"
"Education","% of HHs with at least one child dropping out in previous academic year","",0.229914790018259,"dropped_from_school"
"Education","Main barriers to education","School stopped functioning and is now closed",0.135605006954103,"education_barriers_not_function"
"Education","Main barriers to education","Lack of safety to access schools",0.0208623087621697,"education_barriers_safety"
"Education","Main barriers to education","Costs related to education",0.298331015299026,"education_barriers_cost"
"Education","Main barriers to education","Unable to enroll/register",0.0479833101529903,"education_barriers_unable_to_register"
"Education","Main barriers to education","Physical limitations to access school ",0.133518776077886,"education_barriers_physical_limitation"
