"Sector","Indicator","Sub Indicator","Disaggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","idp_in_camp",0.867976531943683,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","idp_out_camp",0.0659227912032686,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","returnee",0.0561137371040581,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash","idp_in_camp",0.511979934559766,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","idp_out_camp",0.188430312762026,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","returnee",0.0408094048301082,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food","idp_in_camp",0.903163932675988,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","idp_out_camp",0.837531275299739,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","returnee",0.904436249564716,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Water","idp_in_camp",0.0154062734753924,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","idp_out_camp",0.00432162112615292,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","returnee",0.00881827851367327,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","idp_in_camp",0.000806823993828346,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","idp_out_camp",0.00130918637185635,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","returnee",0.000143836385357213,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","idp_in_camp",0,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","idp_out_camp",0,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","returnee",0,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","idp_in_camp",0.026987011372925,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","idp_out_camp",0.0636895951357272,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","returnee",0.0781693560990768,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","idp_in_camp",0.343157265177443,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","idp_out_camp",0.154688934948428,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","returnee",0.0879985752525049,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","idp_in_camp",0.0008474046496194,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","idp_out_camp",0.00153707591483333,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","returnee",0,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Education services","idp_in_camp",0,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Education services","idp_out_camp",0.00159218362654113,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Education services","returnee",0,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","idp_in_camp",0.22255095291325,"received_aid_healthcare"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","idp_out_camp",0.103864274746688,"received_aid_healthcare"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","returnee",0.176207063536746,"received_aid_healthcare"
"AAP","% of HHs reporting to be satisfied with the aid received","","idp_in_camp",0.763043262158553,"aid_satisfaction"
"AAP","% of HHs reporting to be satisfied with the aid received","","idp_out_camp",0.662044404957169,"aid_satisfaction"
"AAP","% of HHs reporting to be satisfied with the aid received","","returnee",0.968186126381401,"aid_satisfaction"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","idp_in_camp",0.972019003198279,"critical_shelter"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","idp_out_camp",0.112360062719477,"critical_shelter"
