"Sector","Indicator","Sub Indicator","Aggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar",0.18081494057725,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala",0.176346356916579,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok",0.632302405498282,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil",0.359019264448336,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk",0.12566560170394,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa",0.347972972972973,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din",0.0648815653964984,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","wassit",0,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.basrah",0.296296296296296,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.najaf",0.245454545454545,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.qadissiya",0.0833333333333333,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah",0.38125,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","babil",0.183333333333333,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad",0.171799027552674,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kerbala",0.194174757281553,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","thi.qar",0.0666666666666667,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.anbar",0.122065727699531,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","diyala",0.25748502994012,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","duhok",0.599184782608696,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","erbil",0.482926829268293,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","kirkuk",0.0847457627118644,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","ninewa",0.467406380027739,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","salah.al.din",0.46031746031746,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.basrah",0.25,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.najaf",0.37037037037037,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.qadissiya",0.2,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.sulaymaniyah",0.475409836065574,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","babil",0.454545454545455,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","baghdad",0.273584905660377,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","kerbala",0.55,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","thi.qar",0,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food","al.anbar",0.934272300469484,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","diyala",0.994011976047904,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","duhok",0.902173913043478,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","erbil",0.88780487804878,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","kirkuk",0.932203389830508,"received_aid_food"
