"Sector","Indicator","Sub Indicator","Aggregation","Disaggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","idp_in_camp",0.711551347219504,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","idp_out_camp",0.163898676753702,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","returnee",0.0861535919530186,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala","idp_in_camp",0.432193992341398,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala","idp_out_camp",0.0630259742700828,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala","returnee",0.0799420104921552,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok","idp_in_camp",0.876596867506884,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok","idp_out_camp",0.0431428951786828,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil","idp_in_camp",0.937655743706636,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil","idp_out_camp",0.0325564993848481,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk","idp_in_camp",0.863884049058795,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk","idp_out_camp",0.00379613848252718,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk","returnee",0.000224094012157825,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","idp_in_camp",0.88246544898956,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","idp_out_camp",0.0256103621402347,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","returnee",0.0485939599076773,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din","idp_in_camp",0.74,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din","idp_out_camp",0.0451665848255234,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din","returnee",0.0344022518227667,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","wassit","idp_out_camp",0,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.basrah","idp_out_camp",0.296296296296296,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.najaf","idp_out_camp",0.250283142940239,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.qadissiya","idp_out_camp",0.0833333333333333,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah","idp_in_camp",0.948001908349363,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah","idp_out_camp",0.214111105410656,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","babil","idp_out_camp",0.183333333333333,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad","idp_in_camp",0.415410385259632,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad","idp_out_camp",0.140240408637376,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad","returnee",0.0179352432663307,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kerbala","idp_in_camp",0.255813953488372,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kerbala","idp_out_camp",0.15,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","thi.qar","idp_out_camp",0.0666666666666667,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.anbar","idp_in_camp",0.134466893961761,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.anbar","idp_out_camp",0.131637722488954,"received_aid_cash"
