"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"received_aid","all","0","all",0.936398260966794,NA,0.931872007823807,0.94092451410978,"all","all"
"received_aid","all","1","all",0.0636017390332064,NA,0.0590754858902195,0.0681279921761933,"all","all"
"received_aid_cash","all","0","all",0.54847451505474,NA,0.519576490308244,0.577372539801235,"all","all"
"received_aid_cash","all","1","all",0.45152548494526,NA,0.422627460198765,0.480423509691755,"all","all"
"received_aid_food","all","0","all",0.394007100395399,NA,0.36715811439191,0.420856086398888,"all","all"
"received_aid_food","all","1","all",0.605992899604601,NA,0.579143913601111,0.63284188560809,"all","all"
"received_aid_water","all","0","all",0.984152670598157,NA,0.978446592093497,0.989858749102817,"all","all"
"received_aid_water","all","1","all",0.015847329401843,NA,0.0101412508971832,0.0215534079065028,"all","all"
"received_aid_fuel","all","0","all",0.992597890750085,NA,0.986879515642316,0.998316265857854,"all","all"
"received_aid_fuel","all","1","all",0.00740210924991477,NA,0.00168373414214608,0.0131204843576835,"all","all"
"received_aid_shelter","all","0","all",0.994645546378721,NA,0.991998063268157,0.997293029489286,"all","all"
"received_aid_shelter","all","1","all",0.00535445362127874,NA,0.00270697051071436,0.0080019367318431,"all","all"
"received_aid_seasonal_items","all","0","all",0.990461350473381,NA,0.984747231540552,0.996175469406211,"all","all"
"received_aid_seasonal_items","all","1","all",0.00953864952661862,NA,0.00382453059378912,0.0152527684594481,"all","all"
"received_aid_other_nfi","all","0","all",0.997657946728235,NA,0.995596948186343,0.999718945270126,"all","all"
"received_aid_other_nfi","all","1","all",0.00234205327176528,NA,0.000281054729874074,0.00440305181365648,"all","all"
"received_aid_protection","all","0","all",0.992801135818069,NA,0.98773331859253,0.997868953043609,"all","all"
"received_aid_protection","all","1","all",0.0071988641819306,NA,0.0021310469563911,0.0122666814074701,"all","all"
"received_aid_education","all","0","all",0.845480047936042,NA,0.823356433293937,0.867603662578148,"all","all"
"received_aid_education","all","1","all",0.154519952063958,NA,0.132396337421852,0.176643566706063,"all","all"
"received_aid_healthcare","all","0","all",0.954272684294837,NA,0.945997743502649,0.962547625087026,"all","all"
"received_aid_healthcare","all","1","all",0.0457273157051624,NA,0.0374523749129743,0.0540022564973505,"all","all"
"received_aid_none","all","1","all",0,NA,0,0,"all","all"
"aid_satisfaction","all","0","all",0.360341375760924,NA,0.328934180671859,0.39174857084999,"all","all"
"aid_satisfaction","all","1","all",0.639658624239076,NA,0.60825142915001,0.671065819328141,"all","all"
"critical_shelter","all","0","all",0.885587674297605,NA,0.87725349061884,0.89392185797637,"all","all"
"critical_shelter","all","1","all",0.114412325702395,NA,0.10607814202363,0.122746509381161,"all","all"
"shelter.shelter_type","all","damaged_habitual","all",0.0750173990003051,NA,0.0649114094304794,0.0851233885701308,"all","all"
