"Sector","Indicator","Sub Indicator","Disaggregation","Percentages","variable_name","year"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","female",0.0887212760416115,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","male",0.0604245286929886,"received_aid","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","female",0.418903671900713,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","male",0.45758387093026,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Food","female",0.663396418607621,"received_aid_food","2021"
"AAP","% of HHs reporting to have received [type of aid]","Food","male",0.595332159364851,"received_aid_food","2021"
"AAP","% of HHs reporting to have received [type of aid]","Water","female",0.024873534996352,"received_aid_water","2021"
"AAP","% of HHs reporting to have received [type of aid]","Water","male",0.0141710204426558,"received_aid_water","2021"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","female",0,"received_aid_fuel","2021"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","male",0.00877679786326329,"received_aid_fuel","2021"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","female",0.0172096174186187,"received_aid_shelter","2021"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","male",0.00315276243686768,"received_aid_shelter","2021"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","female",0.015098462758662,"received_aid_seasonal_items","2021"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","male",0.00850610438517499,"received_aid_seasonal_items","2021"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","female",0,"received_aid_other_nfi","2021"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","male",0.00277700956001358,"received_aid_other_nfi","2021"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","female",0.00235936773321932,"received_aid_protection","2021"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","male",0.00809763511839855,"received_aid_protection","2021"
"AAP","% of HHs reporting to have received [type of aid]","Education services","female",0.133890127429693,"received_aid_education","2021"
"AAP","% of HHs reporting to have received [type of aid]","Education services","male",0.158351236372606,"received_aid_education","2021"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","female",0.0374073295626515,"received_aid_healthcare","2021"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","male",0.0472724685564877,"received_aid_healthcare","2021"
"AAP","% of HHs reporting to have received [type of aid]","none","female",0,"received_aid_none","2021"
"AAP","% of HHs reporting to have received [type of aid]","none","male",0,"received_aid_none","2021"
"AAP","% of HHs reporting to be satisfied with the aid received","","female",0.681588998946717,"aid_satisfaction","2021"
"AAP","% of HHs reporting to be satisfied with the aid received","","male",0.631871491312782,"aid_satisfaction","2021"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","female",0.133400977517381,"critical_shelter","2021"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","male",0.112010572004739,"critical_shelter","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_habitual","female",0.0938200381706199,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_rental","female",0.0708731444366951,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_habitual","female",0.439148572231139,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_rental","female",0.169468047689637,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","host_family","female",0.0661046509359262,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel","female",0.00524635809512668,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter","female",0.00582743095939568,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential","female",0.0161742819972467,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other","female",0.0219382109234747,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building","female",0.0027284430247417,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building","female",0.00242333797851743,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu","female",0.0090329063590553,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent","female",0.0437194710417996,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_building","female",0.0534951061566249,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_habitual","male",0.0726391728580272,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_rental","male",0.0335310794977061,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_habitual","male",0.533948432579763,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_rental","male",0.187521427773079,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","host_family","male",0.0317828909112914,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel","male",0.00265866168162995,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter","male",0.00625518675857736,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential","male",0.0134357803595164,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other","male",0.025907762693765,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building","male",0.0035983232052918,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building","male",0.00283314778312398,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu","male",0.0145268621138818,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent","male",0.028600716009059,"shelter.shelter_type","2021"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_building","male",0.0427605557752882,"shelter.shelter_type","2021"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","","female",0.421132694046192,"not_attending_formal","2021"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","","male",0.306175654450189,"not_attending_formal","2021"
"Education","% of households with at least one female school-aged child not attending formal school regularly (at least 4 days a week)","","female",0.39461938686977,"female_not_attending_formal","2021"
"Education","% of households with at least one female school-aged child not attending formal school regularly (at least 4 days a week)","","male",0.281796140588708,"female_not_attending_formal","2021"
"Education","% of households with at least one male school-aged child not attending formal school regularly (at least 4 days a week)","","female",0.35884326756863,"male_not_attending_formal","2021"
"Education","% of households with at least one male school-aged child not attending formal school regularly (at least 4 days a week)","","male",0.238121675362615,"male_not_attending_formal","2021"
"Education","% of HHs with at least one child dropping out in previous academic year","","female",0.219696002110032,"dropped_from_school","2021"
"Education","% of HHs with at least one child dropping out in previous academic year","","male",0.162318908989735,"dropped_from_school","2021"
"Education","Main barriers to education","School stopped functioning and is now closed","female",0.110882630799094,"education_barriers_not_function","2021"
"Education","Main barriers to education","School stopped functioning and is now closed","male",0.0979801439701971,"education_barriers_not_function","2021"
"Education","Main barriers to education","Lack of safety to access schools","female",0.00799662982370918,"education_barriers_safety","2021"
"Education","Main barriers to education","Lack of safety to access schools","male",0.0246882785014547,"education_barriers_safety","2021"
"Education","Main barriers to education","Costs related to education","female",0.25465059212053,"education_barriers_cost","2021"
"Education","Main barriers to education","Costs related to education","male",0.25880195805308,"education_barriers_cost","2021"
"Education","Main barriers to education","Unable to enroll/register","female",0.0632596360548574,"education_barriers_unable_to_register","2021"
"Education","Main barriers to education","Unable to enroll/register","male",0.10417465572621,"education_barriers_unable_to_register","2021"
"Education","Main barriers to education","Health condition of child","female",0.0841555052630845,"education_barriers_health_issue","2021"
"Education","Main barriers to education","Health condition of child","male",0.113413352414092,"education_barriers_health_issue","2021"
"Education","Main barriers to education","Physical limitations to access school ","female",0.154868827268101,"education_barriers_physical_limitation","2021"
"Education","Main barriers to education","Physical limitations to access school ","male",0.103375291563427,"education_barriers_physical_limitation","2021"
"Education","Main barriers to education","School and classes are overcrowded","female",0.00116189018419497,"education_barriers_overcrowded","2021"
"Education","Main barriers to education","School and classes are overcrowded","male",0.00735804416220658,"education_barriers_overcrowded","2021"
"Education","Main barriers to education","The school infrastructure is poor","female",0.0197926507289939,"education_barriers_poor_infrastructure","2021"
"Education","Main barriers to education","The school infrastructure is poor","male",0.0286448057136484,"education_barriers_poor_infrastructure","2021"
"Education","Main barriers to education","Curriculum not adapted","female",0.0130850328218779,"education_barriers_curriculum_not_adapted","2021"
"Education","Main barriers to education","Curriculum not adapted","male",0.0178739798016263,"education_barriers_curriculum_not_adapted","2021"
"Education","Main barriers to education","Child working","female",0.0896319047952379,"education_barriers_working","2021"
"Education","Main barriers to education","Child working","male",0.0614676991377338,"education_barriers_working","2021"
"Education","Main barriers to education","parental refusal","female",0.0973540750338513,"education_barriers_parental_refusal","2021"
"Education","Main barriers to education","parental refusal","male",0.0298602614441301,"education_barriers_parental_refusal","2021"
"Education","Main barriers to education","Lack of interest of children in education.","female",0.223525713427531,"education_barriers_lack_interest","2021"
"Education","Main barriers to education","Lack of interest of children in education.","male",0.112012793068219,"education_barriers_lack_interest","2021"
"Education","Main barriers to education","Unable to access distance learning: household does not have the required resources","female",0.0505960800280162,"education_barriers_distance_learning_lack_resources","2021"
"Education","Main barriers to education","Unable to access distance learning: household does not have the required resources","male",0.0422386892061089,"education_barriers_distance_learning_lack_resources","2021"
"Education","Main barriers to education","Unable to access distance learning: school is not offering alternative education while school buildings are closed","female",0.0310273008297633,"education_barriers_distance_learning_no_alternative","2021"
"Education","Main barriers to education","Unable to access distance learning: school is not offering alternative education while school buildings are closed","male",0.0424652418146533,"education_barriers_distance_learning_no_alternative","2021"
"Education","Main barriers to education","None","female",0.15507355436951,"education_barriers_none","2021"
"Education","Main barriers to education","None","male",0.158749696379907,"education_barriers_none","2021"
"Education","Main barriers to education","Other","female",0.0079706764175366,"education_barriers_other","2021"
"Education","Main barriers to education","Other","male",0.0283121335122047,"education_barriers_other","2021"
"Food Security","Food Consumption Score","Acceptable","female",0.863088150170325,"fcs_category","2021"
"Food Security","Food Consumption Score","Borderline","female",0.091842773923615,"fcs_category","2021"
"Food Security","Food Consumption Score","Poor","female",0.0450690759060601,"fcs_category","2021"
"Food Security","Food Consumption Score","Acceptable","male",0.901037461305451,"fcs_category","2021"
