"Sector","Indicator","Sub Indicator","Disaggregation","Percentages","variable_name","p_value","year"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","female",0.0588336140703404,"received_aid",0.000275729397273313,"2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","male",0.0409009347466031,"received_aid",0.000275729397273313,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","female",0.418903671900713,"received_aid_cash",0.0974134554118976,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","male",0.419530946325515,"received_aid_cash",0.0974134554118976,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Food","female",0.663396418607621,"received_aid_food",0.00754755664467595,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Food","male",0.62770705818151,"received_aid_food",0.00754755664467595,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Water","female",0.024873534996352,"received_aid_water",0.00115364097906027,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Water","male",0.0311650803569142,"received_aid_water",0.00115364097906027,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","female",0,"received_aid_fuel",0.0602197125597181,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","male",0.0078350249387543,"received_aid_fuel",0.0602197125597181,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","female",0.0172096174186187,"received_aid_shelter",5.05087866776086e-07,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Shelter","male",0.00281446294009119,"received_aid_shelter",5.05087866776086e-07,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","female",0.015098462758662,"received_aid_seasonal_items",0.442193783984764,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","male",0.00759337756523356,"received_aid_seasonal_items",0.442193783984764,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","female",0,"received_aid_other_nfi",0.86593223823468,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","male",0.00247902931078508,"received_aid_other_nfi",0.86593223823468,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","female",0.00235936773321932,"received_aid_protection",0.96114961116897,"2021"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","male",0.00722873809856614,"received_aid_protection",0.96114961116897,"2021"
